id,user_id,type,content,recipient_id,viewed_by_recipient,visible,created_at
1,102,Story,Cooked dinner from scratch tonight. Not bad for a beginner!,,,0,2024-02-27 13:52:59
2,855,Story,Discovered a captivating new podcast. Any recommendations?,,,0,2024-02-27 00:21:50
3,585,Message,Hey there! Do you have any recommendations for good podcasts?,398,1,0,2024-02-28 09:02:49
4,348,Story,Practicing mindfulness. It's a journey!,,,0,2024-02-27 18:04:42
5,377,Message,Hey how's it going? Long time no chat!,48,0,1,2024-02-28 16:34:50
6,111,Message,Hi! I noticed we have a mutual friend. Small world,306,1,0,2024-02-27 02:34:00
7,827,Message,Hey do you know where I can find reliable information about that topic you posted about?,271,0,1,2024-02-28 20:54:52
8,738,Message,Hi! I noticed we have a mutual friend. Small world,52,1,0,2024-02-27 01:41:29
9,99,Message,Hey do you know what time the event starts tonight?,326,0,1,2024-02-28 11:50:06
10,7,Message,Hi! I saw your post about the new movie. Is it worth watching?,390,0,1,2024-02-27 02:40:04
11,234,Story,Volunteered at a local shelter today. Feeling fulfilled!,,,1,2024-02-28 04:46:10
12,97,Message,Hi! I saw your post about the new movie. Is it worth watching?,364,1,0,2024-02-28 14:29:05
13,35,Message,Hi! I'm new to the neighborhood. Any recommendations for good restaurants around here?,953,0,1,2024-02-28 14:12:12
14,366,Message,Hey do you know where I can find reliable information about that topic you posted about?,381,1,0,2024-02-28 12:47:53
15,20,Story,Embracing imperfection. Life's beauty lies in its flaws!,,,0,2024-02-27 08:39:14
16,309,Story,Rediscovered an old journal. Memories flooding back!,,,0,2024-02-27 15:37:27
17,470,Story,Danced like nobody was watching. Pure joy!,,,1,2024-02-28 01:44:35
18,540,Story,Reflecting on the past year. Grateful for growth!,,,0,2024-02-27 15:24:49
19,818,Story,Discovered a captivating new podcast. Any recommendations?,,,0,2024-02-27 09:54:28
20,177,Story,Taking a break from screens this weekend. Time to recharge!,,,1,2024-02-28 16:18:31
21,893,Story,Created a vision board. Excited for the future!,,,0,2024-02-27 11:43:19
22,8,Story,Practicing mindfulness. It's a journey!,,,1,2024-02-28 19:41:14
23,907,Message,"Hi! I noticed we have a mutual friend. Small world, huh?",211,0,1,2024-02-28 03:08:50
24,90,Story,Discovered a captivating new podcast. Any recommendations?,,,1,2024-02-28 10:08:27
