id,name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
1,Lakeside Bistro,Moroccan,Cheap,Midtown,10:00-18:00,2.25,1
2,The Spicy Spoon,Indian,Cheap,East Village,07:00-15:00,1.94,1
3,Riverside Cafe,Indian,Medium,Lower East Side,07:00-17:00,4.42,0
4,The Spicy Spoon,Greek,Cheap,Harlem,06:00-14:00,4.83,1
5,Seaside Grill & Bar,Mediterranean,Medium,Williamsburg,18:00-02:00,4.64,1
6,Casa Verde Taqueria,French,Expensive,Midtown,06:00-14:00,1.06,1
7,Oceanfront Oyster Bar,Argentinian,Medium,Upper East Side,11:00-19:00,1.02,0
8,Casa del Sol,Moroccan,Cheap,Midtown,11:00-19:00,1.24,1
9,Oceanfront Oyster Bar,Indian,Cheap,Financial District,16:00-00:00,2.93,0
10,Mango Madness Tropical,Russian,Medium,East Village,10:00-18:00,2.34,0
11,Red Pepper Asian Fusion,American,Expensive,Tribeca,10:00-18:00,3.51,0
12,Fusion Flavors Kitchen,American,Cheap,Hell's Kitchen,08:00-20:00,1.15,0
13,Green Leaf Salad Bar,Moroccan,Medium,Harlem,12:00-00:00,4.17,0
14,Driftwood Tavern,Turkish,Medium,Lower East Side,14:00-22:00,1.71,1
15,Oceanview Grill,Greek,Expensive,Park Slope,08:00-16:00,4.26,0
16,Golden Gate Diner,Mexican,Expensive,West Village,07:00-15:00,2.86,1
17,Bella Amore Ristorante,Argentinian,Cheap,Harlem,07:00-17:00,2.52,0
18,Terra Nova Tavern,French,Expensive,Harlem,15:00-23:00,2.3,0
19,Emerald Isle Eatery,Mediterranean,Cheap,Upper West Side,09:00-17:00,3.53,0
20,Rustic Roots Cafe,Greek,Medium,East Village,07:00-17:00,3.04,1
21,The Spicy Spoon,Turkish,Medium,Tribeca,18:00-02:00,2.1,0
22,Mango Madness Tropical,Thai,Expensive,Williamsburg,08:00-20:00,3.35,1
23,Driftwood Tavern,Argentinian,Cheap,Prospect Heights,09:00-21:00,3.69,1
24,Oceanview Grill,Lebanese,Medium,Brooklyn Heights,11:00-19:00,1.05,1
25,Zen Garden Sushi Bar,Lebanese,Medium,Chelsea,09:00-21:00,3.21,0
26,Mountain View Cafe,Chinese,Expensive,Tribeca,18:00-02:00,3.35,1
27,Golden Harvest Diner,Thai,Expensive,Lower East Side,07:00-14:00,2.61,1
28,Oceanfront Oyster Bar,Japanese,Expensive,Upper West Side,16:00-00:00,4.66,0
29,Riverside Bistro,Spanish,Medium,West Village,17:00-01:00,3.72,1
30,Bella Vista Bistro,Greek,Cheap,Soho,12:00-00:00,1.93,1
31,Blue Ribbon BBQ,Vietnamese,Expensive,Lower East Side,11:00-23:00,4.88,1
32,Blueberry Hill Pancake House,Argentinian,Cheap,Bushwick,08:00-16:00,1.43,0
33,Green Garden Kitchen,American,Cheap,Harlem,13:00-21:00,3.4,1
34,Island Oasis Cafe,Thai,Cheap,Prospect Heights,10:00-22:00,2.81,1
35,Garden of Eatin',Mexican,Medium,Midtown,17:00-01:00,4.69,0
36,Rustic Roots Cafe,Vietnamese,Expensive,West Village,11:00-19:00,2.13,1
37,Sunrise Diner,Lebanese,Medium,Prospect Heights,08:00-16:00,3.26,1
38,Cafe Luna Rossa,Russian,Cheap,Financial District,11:00-23:00,4.28,1
39,Zen Fusion Sushi,Lebanese,Medium,Lower East Side,08:00-20:00,3.13,1
40,Bella Napoli Pizzeria,Brazilian,Medium,Astoria,15:00-23:00,3.53,1
41,Bamboo Grove Bistro,Turkish,Cheap,Midtown,07:00-14:00,1.13,1
42,Fireside Fare,American,Expensive,Chelsea,10:00-18:00,2.5,1
